permission	purpose	count
READ_PHONE_STATE	INTERNAL	55
GET_ACCOUNTS	INTERNAL	45
READ_CONTACTS	INTERNAL	33
ACCESS_FINE_LOCATION	INTERNAL	30
READ_PHONE_STATE	MOBILE_ANALYTICS	25
CAMERA	INTERNAL	25
RECORD_AUDIO	INTERNAL	21
READ_PHONE_STATE	TARGETED_ADS	18
MANAGE_ACCOUNTS	INTERNAL	16
AUTHENTICATE_ACCOUNTS	INTERNAL	15
READ_PHONE_STATE	PAYMENT	11
BLUETOOTH	INTERNAL	11
SEND_SMS	INTERNAL	10
READ_PHONE_STATE	GAME_ENGINE	8
ACCESS_COARSE_LOCATION	TARGETED_ADS	8
SEND_SMS	PAYMENT	7
ACCESS_FINE_LOCATION	TARGETED_ADS	6
GET_ACCOUNTS	SECONDARY_MARKET	6
ACCESS_FINE_LOCATION	SOCIAL_GAMING	6
ACCESS_COARSE_LOCATION	INTERNAL	6
READ_PHONE_STATE	SECONDARY_MARKET	6
READ_PHONE_STATE	UTILITY	6
CAMERA	DEVELOPMENT_AID	5
CAMERA	GAME_ENGINE	5
ACCESS_FINE_LOCATION	SNS	5
ACCESS_FINE_LOCATION	DEVELOPMENT_AID	5
ACCESS_FINE_LOCATION	MOBILE_ANALYTICS	5
ACCESS_COARSE_LOCATION	SNS	4
ACCESS_FINE_LOCATION	SECONDARY_MARKET	4
SEND_SMS	TARGETED_ADS	3
MANAGE_ACCOUNTS	SNS	3
RECORD_AUDIO	TARGETED_ADS	3
RECORD_AUDIO	GAME_ENGINE	3
AUTHENTICATE_ACCOUNTS	UTILITY	3
RECORD_AUDIO	DEVELOPMENT_AID	3
READ_CONTACTS	UTILITY	3
READ_PHONE_STATE	DEVELOPMENT_AID	3
BLUETOOTH	GAME_ENGINE	2
SEND_SMS	SNS	2
ACCESS_COARSE_LOCATION	UTILITY	2
SEND_SMS	SOCIAL_GAMING	2
SEND_SMS	SECONDARY_MARKET	2
ACCESS_COARSE_LOCATION	SOCIAL_GAMING	2
SEND_SMS	GAME_ENGINE	2
ACCESS_COARSE_LOCATION	PAYMENT	2
SEND_SMS	DEVELOPMENT_AID	2
AUTHENTICATE_ACCOUNTS	SNS	2
BLUETOOTH	TARGETED_ADS	2
SEND_SMS	UTILITY	2
READ_CONTACTS	SNS	2
BLUETOOTH	MOBILE_ANALYTICS	2
BLUETOOTH	SOCIAL_GAMING	2
READ_PHONE_STATE	SNS	2
BLUETOOTH	UTILITY	2
CAMERA	SOCIAL_GAMING	2
RECORD_AUDIO	SOCIAL_GAMING	2
RECORD_AUDIO	UTILITY	2
READ_CONTACTS	SOCIAL_GAMING	2
READ_CONTACTS	DEVELOPMENT_AID	2
READ_CONTACTS	SECONDARY_MARKET	2
BLUETOOTH	DEVELOPMENT_AID	1
ACCESS_COARSE_LOCATION	SEARCH_ENGINE	1
READ_PHONE_STATE	SOCIAL_GAMING	1
GET_ACCOUNTS	SNS	1
MANAGE_ACCOUNTS	UTILITY	1
ACCESS_FINE_LOCATION	SEARCH_ENGINE	1
GET_ACCOUNTS	DEVELOPMENT_AID	1
ACCESS_FINE_LOCATION	UTILITY	1
READ_PHONE_STATE	SEARCH_ENGINE	1
